psraid	sample	int_date	Date formatted	lang	usr	cregion	state	form	sex	q1	q3	eminuse	intmob	intfreq	home4nw	bbhome1	bbhome2	bbhome3a	bbhome3b	bbhome3c	bbhome3d	bbhome3e	device1a	smart1	q4	bbsmart1	bbsmart2	bbsmart3a	bbsmart3b	bbsmart3c	bbsmart3d	bbsmart3e	bbsmart3f	bbsmart4	cable1	cable2	cable3a	cable3b	cable3c	act19	act87a	act87b	act137	q5a	q5b	q5c	q5d	q5e	q5f	date1a	date2a	date3a	date3b	date4a	date4b	date4c	date4d	date4e	date4f	game1	game2a	game2b	game2c	game2d	game2e	game2f	game3a	game3b	game4	emplnw	emptype1	emptype2	emptype3	stud	job1a	job1b	job1c	job1d	job1e	job1f	job2	job3a	job3b	job3c	job3d	job3e	job3f	job3g	job3h	job4	smjob1	smjob2a	smjob2b	smjob2c	smjob2d	smjob2e	smjob3	smjob4a	smjob4b	smjob4c	smjob4d	smjob4e	snsjob1a	snsjob1b	snsjob1c	snsjob2a	snsjob2b	job5a	job5b	job5c	job5d	auto1a	auto1b	auto1c	auto1d	auto1e	auto2	auto3	age	marital	hh1	par	kidage1	kidage2	kidage3	educ2	edinst	disa	party	partyln	ideo	hisp	birth_hisp	race	inc	ql1a	qc1	zipcode	weight	standwt	0
100006	1	61015	10-06-15	1	S	3	51	1	2	1	2	1	1	1	1	2	 	3	3	3	3	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	1	 	1	2	2	1	 	 	 	2	2	2	2	2	2	2	2	1	1	2	2	1	8	3	8	3	2	1	 	4	 	 	 	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	47	1	4	1	0	1	2	6	 	2	3	8	1	2	 	1	99	 	 	20112	2.258064516	0.720940604	
100009	1	61015	10-06-15	1	U	3	24	2	2	2	3	1	1	5	1	1	1	3	3	3	3	3	1	1	 	8	2	8	2	1	2	2	2	 	1	 	 	 	 	1	 	2	2	 	 	 	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	3	3	3	3	3	1	1	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	63	1	2	2	 	 	 	4	 	2	2	 	3	2	 	2	6	 	 	21239	2.548387097	0.813632968	
100011	1	61015	10-06-15	1	S	2	39	2	2	1	2	2	2	 	 	 	 	3	9	3	3	3	1	2	1	2	2	2	2	 	2	2	1	 	1	 	 	 	 	 	 	 	 	 	 	 	2	2	2	 	 	2	2	2	2	8	2	2	1	9	8	8	8	8	8	3	2	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	86	5	1	2	 	 	 	1	 	2	1	 	1	2	 	1	3	 	 	44730	1.806451613	0.576752483	
100039	1	61015	10-06-15	1	S	3	37	2	2	1	2	1	1	2	1	2	 	3	3	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	1	2	 	 	 	2	1	1	2	2	1	1	2	2	2	2	1	1	2	2	1	2	2	2	3	1	2	 	1	1	1	 	3	2	1	1	1	2	1	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	1	1	1	1	2	4	4	3	4	2	2	40	1	3	2	 	 	 	5	 	2	1	 	2	2	 	1	6	 	 	27028	5.032258065	1.606667633	
100040	1	61015	10-06-15	1	U	3	21	1	2	1	2	1	2	3	1	2	 	3	3	3	3	3	2	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	 	 	 	 	 	 	2	 	2	1	2	2	2	2	2	1	1	3	8	3	3	3	2	2	9	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	1	2	2	 	 	 	 	 	 	 	 	 	 	2	65	9	9	2	 	 	 	4	 	2	9	9	1	2	 	1	3	2	 	40511	7.161290323	2.286411631	
100043	1	62215	22-06-15	1	R	2	20	1	2	1	2	1	1	4	1	2	 	1	1	1	2	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	2	2	1	 	 	 	2	2	2	2	2	1	2	1	1	2	2	3	1	1	3	8	8	2	1	 	2	5	2	4	3	1	1	1	2	2	1	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	1	1	1	1	4	4	4	4	4	2	2	69	1	2	2	 	 	 	6	 	2	3	8	3	2	 	1	8	 	 	67601	1	0.319273696	
100049	1	61015	10-06-15	1	R	1	42	1	1	1	4	2	2	 	 	 	 	3	2	2	2	3	1	2	8	2	2	2	1	 	1	2	1	6	1	 	 	 	 	 	 	 	 	2	2	2	 	 	 	 	 	2	2	2	2	9	1	2	1	2	3	1	8	3	8	8	1	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	72	1	2	2	 	 	 	6	 	2	3	8	1	2	 	1	99	 	 	15748	1.387096774	0.442863514	
100051	1	61915	19-06-15	1	R	2	26	1	1	1	2	2	2	 	 	 	 	2	1	1	2	1	1	2	9	2	2	2	2	 	1	2	2	 	1	 	 	 	 	 	 	 	 	2	2	2	 	 	 	 	 	2	2	1	1	2	2	1	2	2	2	2	1	8	2	8	1	2	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	70	1	2	2	 	 	 	4	 	2	1	 	2	2	 	1	7	 	 	49690	1.64516129	0.525256726	
100058	1	61015	10-06-15	1	R	3	40	2	1	2	2	1	1	3	1	2	 	3	3	2	3	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	1	2	 	 	 	1	2	1	2	2	1	2	2	2	1	1	2	1	2	1	2	1	8	1	8	2	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	1	2	1	2	2	 	 	 	 	 	 	 	 	 	 	2	77	5	1	2	 	 	 	6	 	1	2	 	5	2	 	1	6	 	 	73655	1	0.319273696	
100059	1	61015	10-06-15	1	U	1	23	1	1	3	4	2	2	 	 	 	 	2	1	1	1	1	1	8	1	2	2	2	2	 	2	2	2	 	1	 	 	 	 	 	 	 	 	2	2	2	 	 	 	 	 	2	2	2	2	2	1	2	1	2	8	1	3	3	3	1	2	2	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	73	1	4	2	 	 	 	3	 	2	3	8	4	2	 	1	3	 	 	4412	2.935483871	0.937222786	
